City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
608,Nkhata Bay,MW,78.58,clear sky,-11.6066,34.2907,Mayoka Village
609,Buchanan,LR,75.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
612,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
617,Port Augusta,AU,76.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
620,Barra Patuca,HN,76.87,broken clouds,15.8,-84.2833,
622,Segou,ML,75.88,clear sky,13.4317,-6.2157,Comme chez soi
626,Cap Malheureux,MU,79.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
629,Iracoubo,GF,78.4,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
633,Pedro Velho,BR,77.29,overcast clouds,-6.4392,-35.2214,Pousada Do Otávio
634,Vangaindrano,MG,77.38,scattered clouds,-23.35,47.6,Hotel Fanilo
636,Sijunjung,ID,89.78,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
637,Marsh Harbour,BS,76.57,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
639,Mersing,MY,89.51,scattered clouds,2.4312,103.8405,Timotel Hotel
644,Alappuzha,IN,79.72,scattered clouds,9.49,76.3264,Panoramic Sea Resort
647,Ternate,ID,85.57,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
649,Jambi,ID,84.9,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
653,Sarangani,PH,85.05,scattered clouds,5.4033,125.4636,Ballistic Islet
656,Muri,IN,78.03,overcast clouds,23.3667,85.8667,Sanyasi Lodge
660,Bintulu,MY,86.41,few clouds,3.1667,113.0333,900 Boutique INN
671,Gizo,SB,85.05,few clouds,-8.103,156.8419,Imagination Island
674,Lufilufi,WS,78.58,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
680,Canchungo,GW,75.33,clear sky,12.0672,-16.0333,Aparthotel Napalach
683,Keti Bandar,PK,77.2,clear sky,24.1447,67.4497,Haji laloo memon house
